Année;Prix;Variation
28/01/2013;13.05000000;0%
29/01/2013;13.20000000;1.14%
30/01/2013;13.79000000;4.28%
31/01/2013;14.56000000;5.29%
01/02/2013;14.75000000;1.29%
02/02/2013;15.35000000;3.91%
03/02/2013;15.10000000;-1.66%
04/02/2013;14.37000000;-5.08%
05/02/2013;14.76000000;2.64%
06/02/2013;15.02000000;1.73%
07/02/2013;15.20000000;1.18%
08/02/2013;15.84000000;4.04%
09/02/2013;16.26000000;2.58%
10/02/2013;16.85000000;3.5%
11/02/2013;17.44000000;3.38%
12/02/2013;17.47000000;0.17%
13/02/2013;18.00000000;2.94%
14/02/2013;18.71000000;3.79%
15/02/2013;18.43000000;-1.52%
16/02/2013;20.12000000;8.4%
17/02/2013;20.20000000;0.4%
18/02/2013;20.44000000;1.17%
19/02/2013;20.18000000;-1.29%
20/02/2013;20.34000000;0.79%
21/02/2013;22.26000000;8.63%
22/02/2013;22.50000000;1.07%
23/02/2013;22.51000000;0.04%
24/02/2013;23.00000000;2.13%
25/02/2013;22.68000000;-1.41%
26/02/2013;22.66000000;-0.09%
27/02/2013;23.21000000;2.37%
28/02/2013;24.00000000;3.29%
01/03/2013;23.50000000;-2.13%
02/03/2013;25.64000000;8.35%
03/03/2013;26.70000000;3.97%
04/03/2013;26.97000000;1%
05/03/2013;26.90000000;-0.26%
06/03/2013;28.23000000;4.71%
07/03/2013;31.47000000;10.3%
08/03/2013;32.31000000;2.6%
09/03/2013;31.57000000;-2.34%
10/03/2013;33.59000000;6.01%
11/03/2013;35.80000000;6.17%
12/03/2013;35.70000000;-0.28%
13/03/2013;37.15000000;3.9%
14/03/2013;33.18000000;-11.97%
15/03/2013;36.42000000;8.9%
16/03/2013;36.52000000;0.27%
17/03/2013;36.40000000;-0.33%
18/03/2013;36.50000000;0.27%
19/03/2013;36.65000000;0.41%
20/03/2013;39.50000000;7.22%
21/03/2013;46.00000000;14.13%
22/03/2013;49.82000000;7.67%
23/03/2013;56.00000000;11.04%
24/03/2013;53.97000000;-3.76%
25/03/2013;49.65000000;-8.7%
26/03/2013;55.15000000;9.97%
27/03/2013;56.75000000;2.82%
28/03/2013;60.93000000;6.86%
29/03/2013;69.25000000;12.01%
30/03/2013;70.63000000;1.95%
31/03/2013;70.86000000;0.32%
01/04/2013;72.27000000;1.95%
02/04/2013;73.74000000;1.99%
03/04/2013;80.77000000;8.7%
04/04/2013;92.19000000;12.39%
05/04/2013;102.99000000;10.49%
06/04/2013;104.00000000;0.97%
07/04/2013;108.50000000;4.15%
08/04/2013;111.97000000;3.1%
09/04/2013;127.16000000;11.95%
10/04/2013;143.63000000;11.47%
11/04/2013;180.10000000;20.25%
12/04/2013;127.01000000;-41.8%
13/04/2013;92.00000000;-38.05%
14/04/2013;88.00000000;-4.55%
15/04/2013;71.00000000;-23.94%
16/04/2013;67.40000000;-5.34%
17/04/2013;63.00000000;-6.98%
18/04/2013;51.10000000;-23.29%
19/04/2013;71.50000000;28.53%
20/04/2013;82.50000000;13.33%
21/04/2013;91.51000000;9.85%
22/04/2013;98.15000000;6.77%
23/04/2013;92.00000000;-6.68%
24/04/2013;95.00000000;3.16%
25/04/2013;109.68000000;13.38%
26/04/2013;119.00000000;7.83%
27/04/2013;108.80000000;-9.38%
28/04/2013;105.00000000;-3.62%
29/04/2013;100.70000000;-4.27%
30/04/2013;104.00000000;3.17%
01/05/2013;109.00000000;4.59%
02/05/2013;105.55000000;-3.27%
03/05/2013;90.00000000;-17.28%
04/05/2013;81.18000000;-10.86%
05/05/2013;75.00000000;-8.24%
06/05/2013;84.49000000;11.23%
07/05/2013;88.33000000;4.35%
08/05/2013;85.04000000;-3.87%
09/05/2013;85.00000000;-0.05%
10/05/2013;85.00000000;0%
11/05/2013;85.30000000;0.35%
12/05/2013;88.11000000;3.19%
