Nom;Année;Bois;Carton;Papier;Déchets dangereux;DEEE;Amiante;Batteries;Cartouches d'encre;Extincteurs;Huile;Pneumatiques;Déchets verts;Ferraille;Gravats;Mobilier;Ré-emploi;Textiles;Tout-venant;Verre
Déchèterie Carquefou;2012;603.0;211.0;93.0;36.0;135.0;0.0;0.0;0.0;0.0;9.0;0.0;3642.0;144.0;2263.0;0.0;56.0;7.0;1312.0;243.0
Déchèterie La Montagne;2012;214.0;92.0;104.0;10.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;1336.0;0.0;1844.0;0.0;0.0;2.0;900.0;132.0
Déchèterie Saint Herblain;2012;959.0;295.0;122.0;40.0;217.0;0.0;3.0;0.0;0.0;12.0;0.0;3403.0;100.0;4733.0;0.0;17.0;10.0;2864.0;175.0
Ecopoint La Beaujoire;2012;0.0;48.0;0.0;7.0;72.0;0.0;2.0;0.0;0.0;1.0;0.0;377.0;7.0;0.0;0.0;0.0;5.0;331.0;0.0
Ecopoint Viarme;2012;0.0;105.0;173.0;17.0;111.0;0.0;0.0;0.0;0.0;0.0;0.0;370.0;83.0;0.0;0.0;0.0;8.0;715.0;0.0
Déchèterie La Chapelle sur Erdre;2013;815.0;230.0;113.0;46.0;143.0;0.0;2.0;0.0;0.0;8.0;0.0;4246.0;46.0;5947.0;0.0;0.0;0.0;3824.0;206.0
Déchèterie Saint Sébastien;2013;693.0;221.0;112.0;37.0;142.0;0.0;4.0;0.0;0.0;11.0;0.0;4434.0;121.0;5575.0;0.0;0.0;15.0;3360.0;206.0
Déchèterie Orvault;2014;777.0;355.0;86.0;46.0;169.0;0.0;8.0;1.0;0.0;13.0;0.0;4821.0;75.0;3436.0;0.0;84.0;49.0;3504.0;417.0
Déchèterie Saint Herblain;2014;771.0;248.0;123.0;48.0;119.0;0.0;2.0;0.0;0.0;12.0;0.0;3160.0;161.0;3794.0;0.0;42.0;12.0;2661.0;220.0
Déchèterie Nantes;2015;1195.0;272.0;56.0;64.0;241.0;2.0;0.0;1.0;2.0;3.0;22.0;2738.0;148.0;2570.0;0.0;17.0;57.0;1479.0;0.0
Déchèterie Saint Jean de Boiseau;2015;297.0;91.0;81.0;26.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;1417.0;53.0;1695.0;0.0;3.0;1.0;1095.0;141.0
Déchèterie Saint Sébastien;2015;611.0;241.0;99.0;40.0;161.0;0.0;0.0;0.0;0.0;6.0;0.0;3630.0;166.0;2533.0;207.0;74.0;26.0;1510.0;226.0
Ecopoint La Beaujoire;2015;0.0;56.0;0.0;6.0;67.0;0.0;1.0;0.0;0.0;3.0;0.0;354.0;51.0;0.0;0.0;0.0;20.0;326.0;0.0
Déchèterie Carquefou;2016;718.84;233.72;51.25;45.23;192.72;0.0;0.0;0.36;0.0;9.36;0.0;3402.48;154.34;1991.08;0.0;69.92;21.6;1826.8;176.95
Déchèterie Carquefou;2017;876.42;257.68;3.44;48.84;166.5;1.32;0.0;0.19;0.0;10.44;0.0;3532.17;202.52;2085.7;0.0;56.08;19.17;1936.92;207.88
Déchèterie La Montagne;2017;395.06;114.86;29.38;18.92;0.0;0.0;0.0;0.0;0.0;5.67;0.0;1575.3;0.0;1522.38;0.0;0.0;0.0;968.64;121.1
Déchèterie Saint Herblain;2017;1354.86;392.94;61.6;66.89;143.34;0.0;0.0;0.1;0.0;11.88;0.0;3393.73;370.47;4355.88;249.5;45.09;3.46;3232.42;358.94
